Source,Target,Weight
Depsa,A. Valsiglio,7
M. Rinalduzzi,M. D'Angelo,11
M. Rinalduzzi,G. Todrani,11
M. Rinalduzzi,M. Zenima Granieri,5
R. Arbore,C. Mattone,10
E. Isola,Mogol,10
F. Ricciardi,O. Avogadro,10
G. Fanciulli,G. C. Testoni,16
A. Rosario,P. A. Cassella,4
A. Rosario,M. Zarrillo,5
E. Sbriccoli,L. Greco,5
E. Sbriccoli,F. Migliacci,4
D. Bernazza,Falco,4
D. Bernazza,M. De Angelis,8
M. Armani,P. Armenise,8
G. Nuti,Malise,8
G. Nuti,G. P. Felisatti,8
M. Spina,T. Palamara,8
M. Spina,F. C. Casellati,3
S. Bertolotti,F. Facchinetti,3
S. Bertolotti,D. Calvetti,7
A. Cheli,M. Telli,6
A. Cheli,E. Palumbo,3
A. Cheli,A. De Sanctis,10
M. D'Angelo,M. Zenima Granieri,6
O. Avogadro,C. Sebastianelli,6
O. Avogadro,M. Lavezzi,6
O. Avogadro,R. Borghetti,6
O. Avogadro,O. Prudente,6
V. Tempera,A. Zurawski,6
V. Tempera,M. Martellini,4
G. Bella,A. Salerno,3
G. Bella,Mogol,6
G. Bella,G. Bigazzi,5
G. Bella,G. Westley,4
F. Silvestre,L. Sala,4
F. Silvestre,E. Palmosi,4
A. Cazzola,F. Draicchio,5
A. Cazzola,E. Roberto,5
A. Cazzola,L. Guenzi,1
A. Cazzola,A. Guidetti,9
A. Cazzola,M. Romagnoli,9
A. Istroni,G. Pegoraro,9
M. A. Sisini,G. Russo,9
M. A. Sisini,V. Magelli,9
V. Thoma,S. Galante,4
V. Thoma,A. Cogliati,4
G. Mescoli,V. Pallavicini,16
A. Nicorelli,G. Pieretti,27
G. B. Martelli,Albula,14
V. Incenzo,R. Zero,9
V. Incenzo,S. Testi,9
V. Incenzo,D. Pinelli,7
V. Incenzo,Laurex,7
V. Incenzo,Y. Carrisi,4
V. Incenzo,M. Zarrillo,10
L. L. Martelli,G. Castellani,6
L. L. Martelli,C. Concina,6
Zucchero Fornaciari,M. Vergnaghi,6
Zucchero Fornaciari,L. Albertelli,3
Zucchero Fornaciari,E. Malepasso,8
Zucchero Fornaciari,M. Saggese,6
Zucchero Fornaciari,E. Toffoli,5
G. Russo,V. Magelli,8
A. Rodini,O. Rubino,6
S. Seracini,G. C. Testoni,6
S. Seracini,V. D'Acquisto,6
S. Seracini,M. Panzeri,7
S. Seracini,E. Minoretti,7
R. Lo Mele,T. Cerasuolo,8
R. Lo Mele,A. Baracco,4
R. Lo Mele,G. Giancursi,1
R. Lo Mele,C. Lo Mele,8
E. Jannacci,P. Jannacci,9
G. Boursier,D. Stefani,15
G. Argenio,C. Conti,16
G. Argenio,F. Arrigoni,9
G. Argenio,M. Panzeri,10
C. Conti,F. Arrigoni,7
C. Conti,L. Pilat,7
C. Conti,M. Panzeri,7
G. Todrani,M. Fabrizio,7
G. Todrani,A. Cogliati,3
G. Todrani,V. Tosetto,3
G. Todrani,E. Ramazzotti,10
G. Todrani,S. Sylvestre,1
R. Zero,Y. Carrisi,10
P. Pinna,E. Palumbo,20
G. Viezzoli,L. Beretta,8
A. Filippelli,R. Canale,10
A. Filippelli,F. Ferraguzzo,8
A. Filippelli,R. Di Benedetto,9
R. Power,A. Carrisi,9
R. Power,V. Pallavicini,1
R. Power,V. Mercurio,11
R. Power,W. Molco,11
Lucia Mannucci,E. Fecchi,11
G. Trovato,M. Malavasi,8
G. Trovato,T. Sinatra,6
G. Trovato,D. Milani,9
G. Trovato,C. Valli,9
A. Nanni,D. Gambi,9
C. Dammicco,Sentacruz,9
C. Dammicco,Querencio,9
C. Dammicco,S. Grieco,9
C. Dammicco,F. Specchia,10
C. Dammicco,Zacar,10
U. Bertini,G. D'Anzi,1
U. Bertini,E. Falcocchio,2
M. Pilato,S. Dionigi,2
M. Pilato,F. Serafini,2
M. Pilato,G. Novi,9
F. De Benedittis,F. Gazzè,9
F. De Benedittis,R. Casalino,9
F. De Benedittis,M. Mengoni,8
A. Locatelli,N. Ravasini,8
S. Endrigo,S. Bardotti,8
S. Endrigo,L. Bacalov,8
A. Iammarino,M. Masini,17
A. Iammarino,M. Adami,8
D. Modugno,L. Beretta,9
D. Modugno,D. Verde,8
